Approach,Size,Optimal Found?,Iterations,Search Space,Time (sec)
knapsack.py,,,,,
Py,10, Yes, - , - ,0.002673149
Py,15, Yes, - , - ,0.003130913
Py,20, Yes, - , - ,0.0027349
Py,25, Yes, - , - ,0.073497057
Py,30, Yes, - , - ,2.010377169
Py,31, Yes, - , - ,2.525531054
Py,32, Yes, - , - ,5.239197016
Py,33, Yes, - , - ,10.46963406
Py,34, Yes, - , - ,18.00914693
Py,35, Yes, - , - ,37.86745191
Py,36, Yes, - , - ,55.75566387
Py,37, Yes, - , - ,108.66031
Py,38, Yes, - , - ,113.092175
Py,39, Yes, - , - ,245.532654
Py,40, Yes, - , - ,407.325294
Py,41, Yes, - , - ,773.1199172
Py,42, Yes, - , - ,885.4631341
Py,43, Yes, - , - ,1976.239575
Py,44, Yes, - , - ,1832.545811
Py,45, Yes, - , - ,1914.357835
Py,46, Yes, - , - ,2811.820668
Py,47, Yes, - , - ,2785.509086
Py,48, Yes, - , - ,2602.679478
,,,,,
knapsack2.c,,,,,
C,5,Yes,1,12,4.2E-05
C,10,Yes,1,39,0.000467
C,15,Yes,1,59,0.001708
C,20,Yes,1,79,0.003499
C,25,Yes,1,99,0.007212
C,30,Yes,1,119,0.014348
C,35,Yes,1,139,0.021052
C,40,Yes,1,164,0.007201
C,45,Yes,1,179,0.037655
C,48,Yes,1,185,0.01199
C,50,Yes,1,199,0.087832
C,47,Yes,1,187,0.046061
C,48,Yes,1,185,0.010877
C,50,Yes,1,219,0.058318
C,60,Yes,1,279,0.103395
C,100,Yes,1,675,0.643386
C,110,Yes,1,775,0.905736
C,120,Yes,1,875,1.302685
C,130,Yes,1,975,1.711562
C,140,Yes,1,1075,2.117115
C,150,Yes,1,1175,2.622552
C,160,Yes,1,1315,3.047321
C,165,Yes,1,1405,4.359103
,,,,,
knapsack3.c,,,,,
C,5,Yes,1,13,5.6E-05
C,10,Yes,1,25,0.000173
C,15,Yes,1,43,0.002131
C,20,Yes,1,59,0.002786
C,25,Yes,1,77,0.01214
C,30,Yes,1,93,0.018261
C,35,Yes,1,107,0.019777
C,40,Yes,1,127,0.036507
C,45,Yes,1,137,0.042039
C,48,Yes,1,145,0.044899
C,50,Yes,1,151,0.058471
C,100,Yes,1,241,0.071603
C,110,Yes,1,335,0.613772
C,120,Yes,1,363,0.814161
C,130,Yes,1,316,0.153599
C,140,Yes,1,427,1.398152
C,150,Yes,1,457,1.698481
C,160,Yes,1,487,2.024632
C,170,Yes,1,519,2.497794
C,180,Yes,1,549,2.965429
C,200,Yes,1,609,4.129886
C,300,Yes,1,903,13.216031
C,400,Yes,1,1195,31.011333
C,500,Yes,1,1499,59.049726
C,1000,Yes,1,2955,422.799693
C,2000,Yes,1,5999,3520.371689
